DOMAIN,NAME,LOGO
kysenpool.io, Kysen Pool, https://akash.network/static/logos/kysenpool.png
moonli.me, Moonli, https://moonli.me/img/leonids-logo.png
vitwit.com, Vitwit, https://vitwit.com/assets/img/white-logo.png
bitcat365.com, Bitcat, https://www.bitcat365.com/wp-content/uploads/cn/2019/05/19-03355847.png
chainode.capital, Chainode Capital, https://chainode.capital/wp-content/uploads/2019/09/ChainodeCapital_1024.png
desmos.network, Forbole, http://logo.clearbit.com/forbole.com
kalpatech.co, KalpaTech, https://kalpatech.co/images/logoo.png
moonli.me, Moon Lime, https://moonli.me/img/leonids-logo.png
myfaas.club, OpenFaas, https://blog.alexellis.io/content/images/2017/08/faas_side.png
nodeasy.com, Nodeasy.com, http://logo.clearbit.com/nodeasy.com
nodeateam.com, Node A-Team, http://logo.clearbit.com/nodeateam.com
pylon.design, Pylon Validation Service, https://akash.network/static/logos/pylon.png
stake5labs.com, Stake5 Labs, https://s3.amazonaws.com/keybase_processed_uploads/de32b7ca9108d3d7de68949f81114205_360_360.jpg
stake5labs.com, Staker Space, https://staker.space/stkrspcLogo.png
ubik.capital, Ubik Capital, http://logo.clearbit.com/ubik.capital
westaking.io, Westaking, http://logo.clearbit.com/westaking.io
stake.host, Stake.host, https://akash.network/static/logos/stake.host.png
chainvibes.com, chainvibes.com, https://akash.network/static/logos/chainvibes.png
mirrormirage.win, Mirror Mirage, https://mirrormirage.win/MirrorMirage.png
